,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Beijing pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.13%, 
Guangdong pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.30%, 
Tianjin pilot ETS, , , , , , , , , , , , , , , , , , , , , , , ,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.10%, 
France carbon tax, , , , , , , , , , , , , , , , , , , , , , , , ,0.31%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%, 
Mexico carbon tax, , , , , , , , , , , , , , , , , , , , , , , , ,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%, 
Spain carbon tax, , , , , , , , , , , , , , , , , , , , , , , , ,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%, 
Hubei pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , ,0.39%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.26%, 
Chongqing pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , ,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.04%, 
Korea ETS, , , , , , , , , , , , , , , , , , , , , , , , , ,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.95%, 
Portugal carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , ,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%, 
BC GGIRCA, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, 
Fujian pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.37%,0.37%,0.37%,0.37%,0.37%,0.14%, 
Chile carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.11%,0.11%,0.11%,0.11%,0.11%, 
Colombia carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08%,0.08%,0.08%,0.08%,0.08%, 
Zacatecas carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%,0.00%,0.00%, 
Massachusetts ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%,0.00%, 
Argentina carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.16%,0.16%,0.16%,0.16%, 
Canada federal OBPS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.13%,0.13%,0.14%, 
Singapore carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08%,0.08%,0.08%, 
Nova Scotia CaT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.02%,0.02%,0.02%, 
Saskatchewan OBPS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.02%,0.02%,0.02%, 
Newfoundland and Labrador carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01%,0.01%,0.01%, 
Newfoundland and Labrador PSS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01%,0.01%,0.01%, 
Canada federal fuel charge, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.29%,0.29%,0.33%, 
Prince Edward Island carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%, 
South Africa carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.95%,0.95%,0.95%, 
Northwest Territories carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,0.00%,0.00%, 
Mexico pilot ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.56%,0.61%, 
Virginia ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.06%,0.00%, 
New Brunswick carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01%,0.01%, 
Germany ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.74%, 
Tamaulipas carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0%, 
UK ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.36%, 
Netherlands carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%, 
Luxembourg carbon tax, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.01%, 
China national ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.38%, 
New Brunswick ETS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%, 
